Unnamed: 0,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,accepted
0,0_checking,6,Critical_acct_other_credits_existing,radio/television,3380.0,Unknown_or_no_savings_acct,>7yrs,4,male_single,None,4,real_estate,,none,own,2,skilled_employee/official,1,yes,yes,0
1,from_0_to_200,48,Existing_credits_paid_till_now,radio/television,6940.208336039156,<100DM,1_to_4yrs,2,female_divorced/separated/married,None,2,real_estate,22.0,none,own,1,skilled_employee/official,1,none,yes,1
2,None,12,Critical_acct_other_credits_existing,education,1902.3704830676045,<100DM,4_to_7yrs,2,male_single,None,3,real_estate,49.0,none,own,1,unskilled_resident,2,none,yes,0
3,0_checking,42,Existing_credits_paid_till_now,furniture/equipment,1097.0,<100DM,4_to_7yrs,2,male_single,guarantor,4,building_society_savings_agreement/life_insurance,45.0,none,for_free,1,skilled_employee/official,2,none,yes,0
4,0_checking,24,Delay_in_past,new_car,9021.266893802287,<100DM,1_to_4yrs,3,male_single,None,4,unknown/no_property,53.0,none,for_free,2,skilled_employee/official,2,none,yes,1
5,None,36,Existing_credits_paid_till_now,education,1227.2039156426476,Unknown_or_no_savings_acct,1_to_4yrs,2,male_single,None,4,unknown/no_property,35.0,none,for_free,1,unskilled_resident,2,yes,yes,0
6,None,24,Existing_credits_paid_till_now,furniture/equipment,1985.0,500_to_1000DM,>7yrs,3,male_single,None,4,building_society_savings_agreement/life_insurance,53.0,none,own,1,skilled_employee/official,1,none,yes,0
7,from_0_to_200,36,None,used_car,2809.0,<100DM,1_to_4yrs,2,male_single,None,2,car_or_other_nonsavings,35.0,none,rent,1,management_self-employed_highly_qualified/officer,1,yes,yes,0
8,None,12,Existing_credits_paid_till_now,radio/television,2484.6636067714944,>1000DM,4_to_7yrs,2,male_divorced/separated,None,4,real_estate,61.0,none,own,1,unskilled_resident,1,none,yes,0
9,from_0_to_200,30,Critical_acct_other_credits_existing,new_car,16324.0,<100DM,unemployed,4,male_married/widowed,None,2,car_or_other_nonsavings,28.0,none,own,2,management_self-employed_highly_qualified/officer,1,none,yes,1
10,from_0_to_200,12,Existing_credits_paid_till_now,newcar,7103.391762867052,<100DM,<1yr,3,female_divorced/separated/married,None,1,car_or_other_nonsavings,25.0,none,rent,1,skilled_employee/official,1,none,yes,1
11,0_checking,None,Existing_credits_paid_till_now,business,8006.128513753252,<100DM,<1yr,3,feemale_divorced/separated/married,None,4,building_society_savings_agreement/life_insurance,24.0,none,rent,1,skilled_employee/official,1,none,yes,1
12,from_0_to_200,None,Existing_credits_paid_till_now,radio/television,3901.0,<100DM,1_to_4yrs,1,female_divorced/separated/married,None,1,car_or_other_nonsavings,22.0,none,own,1,skilled_employee/official,1,yes,yes,0
13,0_checking,24,Critical_acct_other_credits_existing,new_car,5345.8830072955625,<100DM,>7yrs,4,male_single,None,4,car_or_other_nonsavings,60.0,none,own,2,unskilled_resident,1,none,yes,1
14,zero_checking,15,Existing_credits_paid_till_now,new_car,1763.0,<100DM,1_to_4yrs,2,female_divorced/separated/married,None,4,car_or_other_nonsavings,28.0,none,rent,1,skilled_employee/official,1,none,yes,0
15,0_checking,24,Existing_credits_paid_till_now,radio/television,9405.902235856312,100_to_500DM,1_to_4yrs,4,female_divorced/separated/married,None,2,car_or_other_nonsavings,32.0,none,own,1,unskilled_resident,1,none,yes,1
16,None,24,Critical_acct_other_credits_existing,radio/television,4122.0,Unknown_or_no_savings_acct,>7yrs,4,male_single,None,4,building_society_savings_agreement/life_insurance,53.0,none,own,2,skilled_employee/official,1,none,yes,0
17,0_checking,30,No_credits_taken_or_all_paid,business,2144.550278094076,Unknown_or_no_savings_acct,<1yr,2,male_single,None,3,car_or_other_nonsavings,25.0,bank,own,3,skilled_employee/official,1,none,yes,0
18,from_0_to_200,24,Existing_credits_paid_till_now,used_car,8465.947751464135,<100DM,>7yrs,4,female_divorced/separated/married,None,2,unknown/no_property,44.0,none,for_free,1,management_self-employed_highly_qualified/officer,1,yes,yes,1
19,None,24,Existing_credits_paid_till_now,radio/television,4548.0,500_to_1000DM,>7yrs,3,male_single,None,2,car_or_other_nonsavings,31.0,none,own,1,skilled_employee/official,2,yes,yes,0
20,None,9,Critical_acct_other_credits_existing,new_car,690.0,<100DM,1_to_4yrs,4,male_single,None,4,car_or_other_nonsavings,48.0,none,own,3,skilled_employee/official,1,yes,yes,0
21,0_checking,6,Existing_credits_paid_till_now,radio/television,891.0,500_to_1000DM,1_to_4yrs,2,male_single,None,3,real_estate,44.0,none,rent,1,skilled_employee/official,2,none,yes,0
22,zero_checking,10,Critical_acct_other_credits_existing,new_car,3359.0,<100DM,<1yr,1,male_single,None,3,real_estate,48.0,none,rent,2,unskilled_resident,2,none,no,0
23,from_0_to_200,12,Critical_acct_other_credits_existing,usedcar,4648.052068768326,100_to_500DM,<1yr,3,male_single,None,4,building_society_savings_agreement/life_insurance,44.0,none,own,1,skilled_employee/official,1,none,yes,0
24,None,10,Critical_acct_other_credits_existing,furniture/equipment,2939.0,Unknown_or_no_savings_acct,1_to_4yrs,2,male_married/widowed,None,1,car_or_other_nonsavings,26.0,none,own,2,skilled_employee/official,1,none,no,0
25,zero_checking,6,Existing_credits_paid_till_now,furniture/equipment,4010.0,<100DM,1_to_4yrs,1,male_single,None,2,real_estate,36.0,bank,own,1,unskilled_resident,1,yes,yes,0
26,None,6,No_credits_taken_or_all_paid,radio/television,3880.672562389671,<100DM,>7yrs,4,male_married/widowed,None,4,car_or_other_nonsavings,39.0,none,own,1,unskilled_resident,1,none,yes,0
27,more_than_200,12,All_credits_paid_duly,radio/television,991.7884109841084,>1000DM,1_to_4yrs,3,female_divorced/separated/married,None,3,real_estate,42.0,none,rent,2,skilled_employee/official,1,none,yes,0
28,from_zero_to_200,7,Existing_credits_paid_till_now,radio/television,1752.7066339339435,<100DM,1_to_4yrs,3,male_single,guarantor,2,real_estate,34.0,none,own,1,skilled_employee/official,1,none,yes,0
29,0_checking,60,Delay_in_past,business,7837.507893553919,<100DM,>7yrs,3,male_single,None,4,unknown/no_property,63.0,none,own,2,skilled_employee/official,1,yes,yes,1
30,from_zero_to_200,18`,Existing_credits_paid_till_now,business,619.0,>1000DM,<1yr,3,male_married/widowed,None,3,real_estate,36.0,bank,own,1,skilled_employee/official,1,yes,yes,0
